Lote;Producto;Emision;Tren_ID;Producto_ID
56000;Artrodar CHINA CÁP.;2/6/2025 06:22:39;3;2
56001;Artrodar CHINA CÁP.;2/6/2025 06:22:51;4;2
56002;Artrodar CHINA CÁP.;2/6/2025 06:23:20;3;2
56003;Artrodar CHINA CÁP.;2/6/2025 06:23:29;4;2
56004;Polirreumin CR;2/6/2025 06:32:19;6;61
56005;Polirreumin CR;2/6/2025 06:32:26;6;61
56006;Polirreumin CR;2/6/2025 06:32:34;6;61
56007;Polirreumin CR;2/6/2025 06:32:43;6;61
56008;Polirreumin CR;2/6/2025 06:33:05;6;61
56009;Artrosil Gel;2/6/2025 06:37:01;0;68
56010;Oravil CB;2/6/2025 06:40:41;0;58
56011;Circonyl NAC. CR;2/6/2025 06:45:16;6;24
56012;Circonyl NAC. CR;2/6/2025 06:45:24;6;24
56013;Blastop CR;2/6/2025 06:46:27;6;16
56014;Blastop CR;2/6/2025 06:46:35;6;16
56015;Diclogesic Relax CR;2/6/2025 06:50:26;6;37
56016;Fluxap CR;2/6/2025 06:51:01;7;41
56017;Diclofenac Pridinol TRB Pharma CR;2/6/2025 06:52:45;7;29
56018;Diclofenac Pridinol TRB Pharma CR;2/6/2025 06:52:54;7;29
56019;Diclofenac TRB Pharma 50 mg CR;2/6/2025 07:00:11;7;30
56020;Metilpres 5mg CR;2/6/2025 07:03:30;7;54
56021;Metilpres 5mg CR;2/6/2025 07:04:37;7;54
56022;Falic Gel POMOx50g;2/6/2025 07:05:52;0;70
56023;Diclogesic Forte CR;2/6/2025 07:09:20;6;35
56024;Diclogesic Forte CR;2/6/2025 07:10:00;6;35
56025;Diclogesic Forte CR;2/6/2025 07:10:13;6;35
56026;Metilpres 20mg CR;2/6/2025 07:52:24;7;52
56027;Diclogesic Forte CR;2/6/2025 07:57:27;6;35
56028;Diclogesic Plus B12 CR;2/6/2025 07:59:40;6;36
56029;Diclogesic Plus B12 CR;2/6/2025 07:59:55;6;36
56030;Diclogesic Plus B12 CR;2/6/2025 08:00:05;6;36
56031;Diclogesic Plus B12 CR;2/6/2025 08:00:14;6;36
56032;Diclofenac TRB Pharma 75mg CR;2/6/2025 08:09:02;7;31
56033;Diclofenac TRB Pharma 75mg CR;2/6/2025 08:09:10;7;31
56034;Blue-Vit B12 2mg COMP.;2/6/2025 08:09:58;2;17
56035;Artrodar THAILANDIA CÁP.;2/6/2025 08:10:16;3;11
56036;Artrodar THAILANDIA CÁP.;2/6/2025 08:10:26;3;11
56037;Artrodar THAILANDIA CÁP.;2/6/2025 08:10:34;3;11
56038;Artrodar THAILANDIA CÁP.;2/6/2025 08:10:45;3;11
56039;Artrodar THAILANDIA CÁP.;2/6/2025 08:10:55;3;11
56040;Artrodar THAILANDIA CÁP.;2/6/2025 08:11:23;3;11
56041;Artrodar THAILANDIA CÁP.;2/6/2025 08:11:32;3;11
56042;Diclogesic Forte CR;2/6/2025 08:14:03;6;35
56043;Artrait 7,5 mg COMP.;2/6/2025 08:19:55;0;80
56044;Artrait 10 mg COMP.;2/6/2025 08:20:11;0;81
56045;Artrait 10 mg COMP.;2/6/2025 08:20:30;0;81
56046;Artrait 15 mg COMP.;2/6/2025 08:20:55;0;82
56047;Artrait 15 mg COMP.;2/6/2025 08:21:05;0;82
56048;Artrait SC 20mg FCO.AMP.x0,8ml;2/6/2025 09:12:28;0;83
56049;Ultraflex Gluco sobre x13.5g TROQ.;2/6/2025 11:35:46;0;71
56050;Ultraflex Gluco sobre x13.5g TROQ.;2/6/2025 11:35:58;0;71
56051;Diclofenac TRB Pharma 75mg CR;2/6/2025 14:48:17;7;31
56052;Ultraflex HMB 3000 sobre x14g TROQ.;2/6/2025 15:55:05;0;72
56053;Ultraflex Magnesio sobre x14g TROQ.;2/6/2025 15:55:27;0;89
56054;Ultraflex HMB 3000 sobre x14g M/O.;2/6/2025 15:55:46;0;90
56055;Ultraflex HMB 3000 Lata x420g;2/6/2025 15:56:20;0;73
56056;Ultraflex HMB 3000 Lata x420g;2/6/2025 15:56:32;0;73
56057;Ultraflex HMB 3000 Lata x420g;2/6/2025 15:56:44;0;73
56058;Ultraflex Magnesio Lata x 420 g;2/6/2025 15:56:55;0;74
